"Source:","/mnt/boron-vault/Projects/Giraffe/hardware/GFC/GFC/GFC.kicad_sch"
"Date:","Thu 01 Dec 2022 11:08:38 PM MST"
"Tool:","Eeschema 6.0.9-8da3e8f707~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey","Field4","Input","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Min Wat","PARTREV","PART_REV","SNAPEDA_PN","STANDARD"
"","","AE1","Antenna_Shield","Device:Antenna_Shield","footprints:LINX_CONSMA001-G","https://www.digikey.com/en/products/detail/linx-technologies-inc/CONSMA001-G/5012143?utm_source=snapeda&utm_medium=aggregator&utm_campaign=buynow","https://www.digikey.com/en/products/detail/linx-technologies-inc/CONSMA001-G/5012143","","","","","","","","",""
"","","C1","0.1uF","Device:C_Polarized_Small_US","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C2","100uF","Device:C","","~","","","","","","","","","",""
"","","C3","1uF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C4","0.1uF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C5","0.1uF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C6","20pF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C7","36pF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C8","36pF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C9","20pF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C10","100n","Device:C","","~","","","","","","","","","",""
"","","C11","10n","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C12","1n","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C13","0.1uF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C14","1uF","Device:C_Polarized_Small_US","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C15","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C16","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","C17","0.1uF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"","","D1","1N5400","Diode:1N5400","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf","","","","","","","","","",""
"","","D2","D","Device:D","","~","","","","","","","","","",""
"","","FB1","FerriteBead","Device:FerriteBead","","~","","","","","","","","","",""
"","","FB2","FerriteBead","Device:FerriteBead","","~","","","","","","","","","",""
"","","J1","BAT","Connector:Screw_Terminal_01x02","","~","","","","","","","","","",""
"","","J2","Pi Zero/Zero W","Connector:Raspberry_Pi_2_3","","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf","","","","","","","","","",""
"","","J3","USB Sound Card Connection","Connector_Generic:Conn_01x03","","~","","","","","","","","","",""
"","","L1","56nH","pspice:INDUCTOR","","~","","","","","","","","","",""
"","","L2","68nH","pspice:INDUCTOR","","~","","","","","","","","","",""
"","","L3","56nH","pspice:INDUCTOR","","~","","","","","","","","","",""
"","","Q1","Q_NPN_BCE","Device:Q_NPN_BCE","","~","","","","","","","","","",""
"","","Q2","2N7002K","Transistor_FET:2N7002K","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds30896.pdf","","","","","","","","","",""
"","","Q3","Q_NPN_BCE","Device:Q_NPN_BCE","","~","","","","","","","","","",""
"","","R1","100","Device:R","","~","","","","","","0.036","","","",""
"","","R2","FIND VAL","Device:R","","~","","","","","","","","","",""
"","","R3","R","Device:R","","~","","","","","","","","","",""
"","","R4","R1k","Device:R","","~","","http://www.diygoodies.org.ua/wp-content/uploads/2017/11/Schematics.jpg","","","","","","","",""
"","","R5","10K","Device:R","","~","","","","","","","","","",""
"","","R6","100K","Device:R","","~","","","","","","","","","",""
"","","R7","56K","Device:R","","~","","","","","","","","","",""
"","","R8","1K","Device:R","","~","","","","","","","","","",""
"","","R9","4.7k","Device:R","","~","","","","","","","","","",""
"","","R10","4.7k","Device:R","","~","","","","","","","","","",""
"","","RV1","100k","Device:R_Potentiometer","","~","","","","","","","","","",""
"","","SW1","H/L_DIP_SW","Switch:SW_DIP_x01","","~","","","","","","","","","",""
"","","T1","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","","","","","","","","","",""
"","","T2","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","","","","","","","","","",""
"","","T3","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","","","","","","","","","",""
"","","TX1","DRA818V","DRA818V:DRA818V","DORJI_DRA818V","","","","","DORJI","","","","1.23","","MANUFACTURER RECOMMENDATIONS"
"","","U1","MAX17048G+T10","MAX17048G_T10:MAX17048G+T10","MAX17048G_T10:SON50P200X200X80-9N","","","","","","","","","","",""
"","","U2","LTV-356T","Isolator:LTV-356T","Package_SO:SO-4_4.4x3.6mm_P2.54mm","http://optoelectronics.liteon.com/upload/download/DS70-2001-010/S_110_LTV-356T%2020140520.pdf","","","1.2V @ 20","","","","","","",""
"","","U3","BMP390L","BMP390L:BMP390L","XDCR_BMP390L","","","","","BOSCH","0.8 mm","","1.7","","BMP390L","Manufacturer Recommendation"
"","","U4","SAM-M8Q","RF_GPS:SAM-M8Q","RF_GPS:ublox_SAM-M8Q","https://www.u-blox.com/sites/default/files/SAM-M8Q_DataSheet_%28UBX-16012619%29.pdf","","","","","","","","","",""
"","","VR1","LM7805","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey","Field4","Input","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Min Wat","PARTREV","PART_REV","SNAPEDA_PN","STANDARD"
"1","1","AE1","Antenna_Shield","Device:Antenna_Shield","footprints:LINX_CONSMA001-G","https://www.digikey.com/en/products/detail/linx-technologies-inc/CONSMA001-G/5012143?utm_source=snapeda&utm_medium=aggregator&utm_campaign=buynow","https://www.digikey.com/en/products/detail/linx-technologies-inc/CONSMA001-G/5012143","","","","","","","","",""
"2","1","C1","0.1uF","Device:C_Polarized_Small_US","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"3","1","C2","100uF","Device:C","","~","","","","","","","","","",""
"4","1","C3","1uF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"5","4","C4, C5, C13, C17","0.1uF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"6","2","C6, C9","20pF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"7","2","C7, C8","36pF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"8","1","C10","100n","Device:C","","~","","","","","","","","","",""
"9","1","C11","10n","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"10","1","C12","1n","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"11","1","C14","1uF","Device:C_Polarized_Small_US","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"12","2","C15, C16","100nF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","","","",""
"13","1","D1","1N5400","Diode:1N5400","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf","","","","","","","","","",""
"14","1","D2","D","Device:D","","~","","","","","","","","","",""
"15","2","FB1, FB2","FerriteBead","Device:FerriteBead","","~","","","","","","","","","",""
"16","1","J1","BAT","Connector:Screw_Terminal_01x02","","~","","","","","","","","","",""
"17","1","J2","Pi Zero/Zero W","Connector:Raspberry_Pi_2_3","","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf","","","","","","","","","",""
"18","1","J3","USB Sound Card Connection","Connector_Generic:Conn_01x03","","~","","","","","","","","","",""
"19","2","L1, L3","56nH","pspice:INDUCTOR","","~","","","","","","","","","",""
"20","1","L2","68nH","pspice:INDUCTOR","","~","","","","","","","","","",""
"21","2","Q1, Q3","Q_NPN_BCE","Device:Q_NPN_BCE","","~","","","","","","","","","",""
"22","1","Q2","2N7002K","Transistor_FET:2N7002K","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds30896.pdf","","","","","","","","","",""
"23","1","R1","100","Device:R","","~","","","","","","0.036","","","",""
"24","1","R2","FIND VAL","Device:R","","~","","","","","","","","","",""
"25","1","R3","R","Device:R","","~","","","","","","","","","",""
"26","1","R4","R1k","Device:R","","~","","http://www.diygoodies.org.ua/wp-content/uploads/2017/11/Schematics.jpg","","","","","","","",""
"27","1","R5","10K","Device:R","","~","","","","","","","","","",""
"28","1","R6","100K","Device:R","","~","","","","","","","","","",""
"29","1","R7","56K","Device:R","","~","","","","","","","","","",""
"30","1","R8","1K","Device:R","","~","","","","","","","","","",""
"31","2","R9, R10","4.7k","Device:R","","~","","","","","","","","","",""
"32","1","RV1","100k","Device:R_Potentiometer","","~","","","","","","","","","",""
"33","1","SW1","H/L_DIP_SW","Switch:SW_DIP_x01","","~","","","","","","","","","",""
"34","3","T1, T2, T3","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","","","","","","","","","",""
"35","1","TX1","DRA818V","DRA818V:DRA818V","DORJI_DRA818V","","","","","DORJI","","","","1.23","","MANUFACTURER RECOMMENDATIONS"
"36","1","U1","MAX17048G+T10","MAX17048G_T10:MAX17048G+T10","MAX17048G_T10:SON50P200X200X80-9N","","","","","","","","","","",""
"37","1","U2","LTV-356T","Isolator:LTV-356T","Package_SO:SO-4_4.4x3.6mm_P2.54mm","http://optoelectronics.liteon.com/upload/download/DS70-2001-010/S_110_LTV-356T%2020140520.pdf","","","1.2V @ 20","","","","","","",""
"38","1","U3","BMP390L","BMP390L:BMP390L","XDCR_BMP390L","","","","","BOSCH","0.8 mm","","1.7","","BMP390L","Manufacturer Recommendation"
"39","1","U4","SAM-M8Q","RF_GPS:SAM-M8Q","RF_GPS:ublox_SAM-M8Q","https://www.u-blox.com/sites/default/files/SAM-M8Q_DataSheet_%28UBX-16012619%29.pdf","","","","","","","","","",""
"40","1","VR1","LM7805","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","","","","","","","","","",""
